Depth,Middle Probability,Border Probability,Corner Combinations,Edge Combinations,Interior Combinations
228,-282.0381706533242,,,,
229,-283.27393214117046,,,,
230,-284.50968540939016,,,,
231,-285.74543048347823,,,,
232,-286.98116738881185,,,,
233,-288.2168961506511,,,,
234,-289.4526167941399,,,,
235,-290.688329344306,,,,
236,-291.92403382606324,,,,
237,-293.15973026421,,,,
238,-294.395418683432,,,,
239,-295.6310991083012,,,,
240,-296.866771563278,,,,
241,-298.10243607271127,,,,
242,-299.3380926608388,,,,
243,-300.57374135178793,,,,
244,-301.8093821695768,,,,
245,-303.0450151381144,,,,
246,-304.28064028120184,,,,
247,-305.5162576225325,,,,
248,-306.7518671856926,,,,
249,-307.9874689941619,,,,
250,-309.2230630713145,,,,
251,-310.45864944042,,,,
252,-311.69422812464313,,,,
253,-312.9297991470444,,,,
254,-314.16536253058143,,,,
255,-315.4009182981099,,,,
256,-316.63646647238147,,,,
257,-317.87200707604916,,,,
258,-319.1075401316632,,,,
259,-320.34306566167356,,,,
260,-321.5785836884313,,,,
261,-322.8140942341888,,,,
262,-324.04959732109864,,,,
263,-325.2850929712163,,,,
264,-326.5205812064996,,,,
265,-327.75606204881024,,,,
266,-328.99153551991276,,,,
267,-330.2270016414768,,,,
268,-331.46246043507654,,,,
269,-332.6979119221912,,,,
270,-333.93335612420697,,,,
271,-335.1687930624155,,,,
272,-336.404222758016,,,,
273,-337.6396452321155,,,,
274,-338.8750605057287,,,,
275,-340.1104685997798,,,,
276,-341.3458695351005,,,,
277,-342.58126333243376,,,,
278,-343.8166500124321,,,,
279,-345.0520295956594,,,,
280,-346.28740210258957,,,,
281,-347.52276755360936,,,,
282,-348.7581259690171,,,,
283,-349.9934773690243,,,,
284,-351.22882177375527,,,,
285,-352.4641592032483,,,,
286,-353.6994896774561,,,,
287,-354.93481321624563,,,,
288,-356.1701298393989,,,,
289,-357.40543956661486,,,,
290,-358.6407424175063,,,,
291,-359.8760384116049,,,,
292,-361.11132756835786,,,,
293,-362.34660990713064,,,,
294,-363.581885447207,,,,
295,-364.817154207788,,,,
296,-366.0524162079946,,,,
297,-367.28767146686664,,,,
298,-368.5229200033639,,,,
299,-369.75816183636675,,,,
300,-370.9933969846752,,,,
301,-372.2286254670121,,,,
302,-373.46384730202,,,,
303,-374.6990625082649,,,,
304,-375.9342711042341,,,,
305,-377.16947310833893,,,,
306,-378.40466853891326,,,,
307,-379.6398574142145,,,,
308,-380.875039752425,,,,
309,-382.11021557165077,,,,
310,-383.3453848899237,,,,
311,-384.5805477251997,,,,
312,-385.815704095362,,,,
313,-387.0508540182186,,,,
314,-388.28599751150546,,,,
315,-389.5211345928842,,,,
316,-390.75626527994496,,,,
317,-391.991389590205,,,,
318,-393.22650754110987,,,,
319,-394.4616191500338,,,,
320,-395.69672443427953,,,,
321,-396.9318234110797,,,,
322,-398.1669160975964,,,,
323,-399.4020025109214,,,,
324,-400.63708266807794,,,,
325,-401.8721565860185,,,,
326,-403.1072242816283,,,,
327,-404.34228577172325,,,,
328,-405.5773410730508,,,,
329,-406.812390202291,,,,
330,-408.0474331760563,,,,
331,-409.28247001089153,,,,
332,-410.5175007232747,,,,
333,-411.7525253296169,,,,
334,-412.9875438462625,,,,
335,-414.22255628948824,,,,
336,-415.4575626755052,,,,
337,-416.69256302045574,,,,
338,-417.92755734041657,,,,
339,-419.1625456513932,,,,
340,-420.3975279693234,,,,
341,-421.6325043100719,,,,
342,-422.8674746894296,,,,
343,-424.10243912310875,,,,
344,-425.3373976267394,,,,
345,-426.5723502158596,,,,
346,-427.8072969059083,,,,
347,-429.04223771221154,,,,
348,-430.27717264996295,,,,
349,-431.51210173420236,,,,
350,-432.74702497977955,,,,
351,-433.981942401314,,,,
352,-435.2168540131329,,,,
353,-436.4517598291927,,,,
354,-437.6866598629724,,,,
355,-438.92155412733223,,,,
356,-440.1564426343198,,,,
357,-441.391325394919,,,,
358,-442.6262024187081,,,,
359,-443.8610737134063,,,,
360,-445.09593928427375,,,,
361,-446.33079913330675,,,,
362,-447.56565325817405,,,,
363,-448.8005016508039,,,,
364,-450.0353442955077,,,,
365,-451.27018116649924,,,,
366,-452.5050122246082,,,,
367,-453.73983741293614,,,,
368,-454.9746566511201,,,,
369,-456.2094698277592,,,,
370,-457.4442767904352,,,,
371,-458.6790773325631,,,,
372,-459.91387117608883,,,,
373,-461.1486579487414,,,,
374,-462.3834371541534,,,,
375,-463.61820813264603,,,,
376,-464.8529700098163,,,,
377,-466.0877216291897,,,,
378,-467.32246146408875,,,,
379,-468.55718750240817,,,,
380,-469.79189709612456,,,,
381,-471.02658676494934,,,,
382,-472.26125194042993,,,,
383,-473.4958866328236,,,,
384,-474.73048299798234,,,,
385,-475.9650307749939,,,,
386,-477.1995165571218,,,,
387,-478.43392284821607,,,,
388,-479.66822684382237,,,,
389,-480.90239886015115,,,,
390,-482.1364003143899,,,,
391,-483.37018113609906,,,,
392,-484.6036764613168,,,,
393,-485.83680242858804,,,,
394,-487.069450860045,,,,
395,-488.30148257246424,,,,
396,-489.53271902565643,,,,
397,-490.76293198296025,,,,
398,-491.99183083672574,,,,
399,-493.21904724692854,,,,
400,-494.4441167583957,,,,
401,-495.6664571008939,,,,
402,-496.8853429238843,,,,
403,-498.0998767413819,,,,
404,-499.3089558023487,,,,
405,-500.5112343692608,,,,
406,-501.70508036844876,,,,
407,-502.8885244399096,,,,
408,-504.0591979051169,,,,
409,-505.21425385296993,,,,
410,-506.350261966041,,,,
411,-507.46306193311784,,,,
412,-508.5475503291666,,,,
413,-509.5973573530646,,,,
414,-510.6043327867533,,,,
415,-511.55767976006655,,,,
416,-512.4423789506823,,,,
417,-513.2359981502909,,,,
418,-513.9011044284139,,,,
419,-514.3615219252049,,,,
420,-514.3615219252051,,,,
